pl_name,hostname,pl_orbper,pl_bmasse,pl_rade,st_teff,st_mass,st_rad,disc_year,disc_facility,sy_dist,ra,dec,pl_eqt,pl_dens
Kepler-61 b,Kepler-61,59.87756,,2.15,4017.0,0.635,0.62,2013,Kepler,335.079,295.3044942,42.4753193,273.0,
Kepler-751 b,Kepler-751,17.44490636,,2.46,5387.0,0.87,0.84,2016,Kepler,760.43,294.8438103,44.0776872,,
Kepler-1745 b,Kepler-1745,3.016190052,,1.92872921,5611.0,0.995,1.4,2021,Kepler,996.105,293.4689924,42.8223582,,
KOI-2513.01,KOI-2513,19.00547,7310.053361,2.80224517,5900.0,0.91,1.2,2023,Kepler,1369.87,293.6688776,46.3792321,,2000.0
Kepler-175 c,Kepler-175,34.035257,,3.1,6064.0,,1.01,2014,Kepler,1312.34,289.553232,43.876116,,
Qatar-10 b,Qatar-10,1.645321,233.92288,17.295487,6124.0,1.156,1.254,2019,Qatar,559.068,284.4439052,69.5708373,1955.0,0.248
Kepler-196 d,Kepler-196,122.0800018,,2.66065673,5132.0,0.805,0.77,2021,Kepler,451.312,284.9685077,42.0791214,,
K2-381 c,K2-381,16.034656,,2.0,4473.0,0.754,0.675,2022,K2,145.701,288.0267612,-21.0075789,,
Kepler-400 b,Kepler-400,9.024389,,1.65,5886.0,,1.145,2014,Kepler,845.97,290.9444679,40.4800528,,
Kepler-1087 b,Kepler-1087,0.693842855,,0.61,5589.0,0.96,0.94,2016,Kepler,362.623,294.9789253,46.0056741,,
Kepler-1836 b,Kepler-1836,5.254169941,,2.55303229,6123.0,1.053,0.987,2021,Kepler,1472.62,292.3150933,40.8387799,,
Kepler-549 c,Kepler-549,117.040498,,2.93,5360.0,0.88,0.84,2016,Kepler,635.145,283.0228527,47.2611431,,
Kepler-302 c,Kepler-302,127.282184,,12.45,5740.0,,1.22,2014,Kepler,1402.58,294.3169307,43.6292436,,
Kepler-1729 b,Kepler-1729,4.220970154,,3.89404186,3837.0,0.544,0.517,2021,Kepler,576.181,296.6939428,42.6261145,,
Kepler-42 b,Kepler-42,1.2137672,,0.78,3068.0,0.13,0.17,2011,Kepler,40.0595,292.2196,44.6173667,519.0,
Kepler-1050 b,Kepler-1050,15.3787546,,1.6,6010.0,1.09,1.13,2016,Kepler,490.488,282.9249847,48.6264015,,
Kepler-1166 b,Kepler-1166,33.2406882,,1.69,5446.0,0.9,0.86,2016,Kepler,634.906,290.3484956,50.9028387,,
Kepler-976 b,Kepler-976,105.9564148,,3.96,5232.0,0.87,0.83,2016,Kepler,1012.41,289.8696232,46.7296855,,
WASP-20 b,WASP-20,4.8996284,98.841,16.388,5940.0,1.2,1.392,2015,SuperWASP,211.877,5.1605621,-23.9357894,1379.0,0.132
Kepler-157 c,Kepler-157,13.5405,,2.24,5774.0,,1.044,2014,Kepler,773.713,291.0972257,38.8756049,,
HATS-52 b,HATS-52,1.36665436,711.9392,15.490838,6010.0,1.111,1.046,2017,HATSouth,555.134,140.0875894,-31.2692116,1834.0,1.06
Kepler-844 b,Kepler-844,2.613020856,,1.68,4128.0,0.59,0.57,2016,Kepler,431.776,287.8578541,48.7739646,,
Kepler-131 b,Kepler-131,16.092,16.13,2.41,5685.0,1.02,1.03,2014,Kepler,228.678,288.5308924,40.942373,,6.0
Kepler-271 c,Kepler-271,7.41086267,,0.95,5555.0,0.9,0.87,2014,Kepler,404.542,283.0029316,44.284108,,
HR 858 d,HR 858,11.230511,7.1,2.001,6354.0,1.204,1.258,2019,Transiting Exoplanet Survey Satellite (TESS),31.964,42.9849779,-30.8140609,1061.0,4.9
Kepler-728 b,Kepler-728,5.743477265,,3.34,5660.0,0.95,0.93,2016,Kepler,1765.23,291.0923621,45.1155087,,
TIC 139270665 b,TIC 139270665,23.624,147.15455244,7.22979255,5844.0,1.035,1.016,2024,Transiting Exoplanet Survey Satellite (TESS),189.875,124.0338967,33.2914532,703.0,2.13
Kepler-1165 c,Kepler-1165,29.96870041,,3.36093385,6249.0,1.13,1.076,2021,Kepler,1575.2,286.9712284,44.7082669,,
TOI-2202 b,TOI-2202,11.9126075,287.31687993,10.95117414,5169.0,0.841,0.808,2021,Transiting Exoplanet Survey Satellite (TESS),235.933,51.2284214,-73.9575458,,
TOI-4087 b,TOI-4087,3.1774835,232.01473711,13.04725353,6060.0,1.178,1.112,2023,Transiting Exoplanet Survey Satellite (TESS),301.676,217.9257785,83.3727061,1458.0,0.57
Kepler-1513 b,Kepler-1513,160.8842,48.30991786,8.594,5491.0,0.943,0.95,2016,Kepler,349.247,289.7917561,39.2852655,,1.304
Kepler-323 c,Kepler-323,3.5538229,6.8,1.57,6004.0,1.015,1.12,2014,Kepler,454.883,291.3822988,38.1274595,1431.0,9.6
WASP-2 b,WASP-2,2.152175,295.89973,12.116929,5180.0,0.895,0.866,2007,SuperWASP,153.242,307.7255587,6.4293305,1311.0,0.914
Kepler-1235 b,Kepler-1235,4.16055856,,0.79,5541.0,0.93,0.9,2016,Kepler,540.604,284.9030677,43.9540616,,
Kepler-519 b,Kepler-519,24.3078946,,2.1,5260.0,0.89,0.8,2016,Kepler,246.61,299.3196708,41.3847447,,
K2-318 b,K2-318,7.01,,1.66,3851.0,0.561,0.552,2020,K2,147.866,232.4461375,-17.557463,456.0,
Kepler-237 b,Kepler-237,4.715106,,1.41,4861.0,,0.725,2014,Kepler,657.822,283.2213438,40.421762,,
